email,recommended_projects
bianca.hill@example.com,"['PLCS0424', 'PLCS0358', 'PLCS0287', 'PLCS0147', 'PLCS0288', 'PLCS0887', 'PLCS0893', 'PLCS0894', 'PLCS0755', 'PLCS0306']"
mindy.williams@example.com,"['PLCS0001', 'PLCS0760', 'PLCS0310', 'PLCS0309', 'PLCS0750', 'PLCS0751', 'PLCS0304', 'PLCS0757', 'PLCS0758', 'PLCS0291']"
jacob.stanley@example.com,"['PLCS1000', 'PLCS0543', 'PLCS0508', 'PLCS0509', 'PLCS0512', 'PLCS0521', 'PLCS0525', 'PLCS0526', 'PLCS0527', 'PLCS0529']"
alicia.willis@example.com,"['PLCS1000', 'PLCS0446', 'PLCS0463', 'PLCS0462', 'PLCS0459', 'PLCS0456', 'PLCS0455', 'PLCS0452', 'PLCS0449', 'PLCS0447']"
cassandra.stephens@example.com,"['PLCS0001', 'PLCS0690', 'PLCS0259', 'PLCS0258', 'PLCS0257', 'PLCS0653', 'PLCS0654', 'PLCS0657', 'PLCS0254', 'PLCS0659']"
brandon.little@example.com,"['PLCS1000', 'PLCS0662', 'PLCS0282', 'PLCS0281', 'PLCS0278', 'PLCS0277', 'PLCS0275', 'PLCS0274', 'PLCS0272', 'PLCS0271']"
sarah.olson@example.com,"['PLCS1000', 'PLCS0508', 'PLCS0511', 'PLCS0513', 'PLCS0526', 'PLCS0527', 'PLCS0533', 'PLCS0536', 'PLCS0541', 'PLCS0547']"
hayley.welch@example.com,"['PLCS1000', 'PLCS0662', 'PLCS0282', 'PLCS0281', 'PLCS0278', 'PLCS0277', 'PLCS0275', 'PLCS0274', 'PLCS0272', 'PLCS0271']"
danielle.dickerson@example.com,"['PLCS1000', 'PLCS0503', 'PLCS0520', 'PLCS0518', 'PLCS0514', 'PLCS0512', 'PLCS0509', 'PLCS0508', 'PLCS0999', 'PLCS0471']"
kevin.howard@example.com,"['PLCS0426', 'PLCS0765', 'PLCS0397', 'PLCS0522', 'PLCS0866', 'PLCS0773', 'PLCS0134', 'PLCS0775', 'PLCS0777', 'PLCS0857']"
jade.patel@example.com,"['PLCS1000', 'PLCS0284', 'PLCS0452', 'PLCS0445', 'PLCS0864', 'PLCS0868', 'PLCS0396', 'PLCS0874', 'PLCS0382', 'PLCS0380']"
joseph.patel@example.com,"['PLCS1000', 'PLCS0662', 'PLCS0179', 'PLCS0644', 'PLCS0645', 'PLCS0647', 'PLCS0649', 'PLCS0653', 'PLCS0659', 'PLCS0660']"
natalie.thomas@example.com,"['PLCS1000', 'PLCS0768', 'PLCS0758', 'PLCS0511', 'PLCS0509', 'PLCS0762', 'PLCS0120', 'PLCS0259', 'PLCS0765', 'PLCS0119']"
kimberly.robinson@example.com,"['PLCS1000', 'PLCS0446', 'PLCS0463', 'PLCS0462', 'PLCS0459', 'PLCS0456', 'PLCS0455', 'PLCS0452', 'PLCS0449', 'PLCS0447']"
austin.price@example.com,"['PLCS0001', 'PLCS0690', 'PLCS0259', 'PLCS0258', 'PLCS0257', 'PLCS0653', 'PLCS0654', 'PLCS0657', 'PLCS0254', 'PLCS0659']"
clayton.berry@example.com,"['PLCS1000', 'PLCS0446', 'PLCS0463', 'PLCS0462', 'PLCS0459', 'PLCS0456', 'PLCS0455', 'PLCS0452', 'PLCS0449', 'PLCS0447']"
arthur.mccarthy@example.com,"['PLCS0464', 'PLCS0135', 'PLCS0210', 'PLCS0928', 'PLCS0231', 'PLCS0351', 'PLCS0397', 'PLCS0531', 'PLCS0233', 'PLCS0258']"
michelle.fox@example.com,"['PLCS0729', 'PLCS0285', 'PLCS0209', 'PLCS0758', 'PLCS0213', 'PLCS0752', 'PLCS0220', 'PLCS0224', 'PLCS0741', 'PLCS0739']"
kevin.suarez@example.com,"['PLCS1000', 'PLCS0446', 'PLCS0463', 'PLCS0462', 'PLCS0459', 'PLCS0456', 'PLCS0455', 'PLCS0452', 'PLCS0449', 'PLCS0447']"
kurt.cabrera@example.com,"['PLCS1000', 'PLCS0446', 'PLCS0463', 'PLCS0462', 'PLCS0459', 'PLCS0456', 'PLCS0455', 'PLCS0452', 'PLCS0449', 'PLCS0447']"
mark.martin@example.com,"['PLCS0853', 'PLCS0115', 'PLCS0848', 'PLCS0847', 'PLCS0846', 'PLCS0575', 'PLCS0576', 'PLCS0842', 'PLCS0129', 'PLCS0836']"
dwayne.middleton@example.com,"['PLCS0001', 'PLCS0289', 'PLCS0726', 'PLCS0310', 'PLCS0309', 'PLCS0306', 'PLCS0304', 'PLCS0734', 'PLCS0291', 'PLCS0741']"
allison.burke@example.com,"['PLCS1000', 'PLCS0755', 'PLCS0218', 'PLCS0745', 'PLCS0221', 'PLCS0226', 'PLCS0227', 'PLCS0733', 'PLCS0230', 'PLCS0729']"
bradley.green@example.com,"['PLCS1000', 'PLCS0446', 'PLCS0463', 'PLCS0462', 'PLCS0459', 'PLCS0456', 'PLCS0455', 'PLCS0452', 'PLCS0449', 'PLCS0447']"
mary.mata@example.com,"['PLCS0001', 'PLCS0289', 'PLCS0726', 'PLCS0310', 'PLCS0309', 'PLCS0306', 'PLCS0304', 'PLCS0734', 'PLCS0291', 'PLCS0741']"
robert.james@example.com,"['PLCS1000', 'PLCS0503', 'PLCS0520', 'PLCS0518', 'PLCS0514', 'PLCS0512', 'PLCS0509', 'PLCS0508', 'PLCS0999', 'PLCS0471']"
justin.johnson@example.com,"['PLCS1000', 'PLCS0468', 'PLCS0495', 'PLCS0493', 'PLCS0489', 'PLCS0488', 'PLCS0477', 'PLCS0473', 'PLCS0467', 'PLCS0498']"
nicole.spencer@example.com,"['PLCS0001', 'PLCS0808', 'PLCS0839', 'PLCS0313', 'PLCS0837', 'PLCS0315', 'PLCS0833', 'PLCS0322', 'PLCS0328', 'PLCS0816']"
desiree.mccann@example.com,"['PLCS0662', 'PLCS0281', 'PLCS0760', 'PLCS0761', 'PLCS0282', 'PLCS0088', 'PLCS0185', 'PLCS0184', 'PLCS0370', 'PLCS0545']"
robin.marshall@example.com,"['PLCS1000', 'PLCS0446', 'PLCS0463', 'PLCS0462', 'PLCS0459', 'PLCS0456', 'PLCS0455', 'PLCS0452', 'PLCS0449', 'PLCS0447']"
amber.winters@example.com,"['PLCS0364', 'PLCS0426', 'PLCS0808', 'PLCS0513', 'PLCS0179', 'PLCS0357', 'PLCS0183', 'PLCS0428', 'PLCS0797', 'PLCS0189']"
steve.young@example.com,"['PLCS0001', 'PLCS0690', 'PLCS0259', 'PLCS0258', 'PLCS0257', 'PLCS0653', 'PLCS0654', 'PLCS0657', 'PLCS0254', 'PLCS0659']"
caleb.crawford@example.com,"['PLCS1000', 'PLCS0284', 'PLCS0452', 'PLCS0445', 'PLCS0864', 'PLCS0868', 'PLCS0396', 'PLCS0874', 'PLCS0382', 'PLCS0380']"
evan.huffman@example.com,"['PLCS0902', 'PLCS0477', 'PLCS0742', 'PLCS0328', 'PLCS0109', 'PLCS0750', 'PLCS0430', 'PLCS0929', 'PLCS0659', 'PLCS0099']"
jonathan.evans@example.com,"['PLCS0001', 'PLCS0760', 'PLCS0310', 'PLCS0309', 'PLCS0750', 'PLCS0751', 'PLCS0304', 'PLCS0757', 'PLCS0758', 'PLCS0291']"
lauren.clayton@example.com,"['PLCS0001', 'PLCS0690', 'PLCS0259', 'PLCS0258', 'PLCS0257', 'PLCS0653', 'PLCS0654', 'PLCS0657', 'PLCS0254', 'PLCS0659']"
sarah.smith@example.com,"['PLCS1000', 'PLCS0066', 'PLCS0720', 'PLCS0717', 'PLCS0701', 'PLCS0696', 'PLCS0085', 'PLCS0675', 'PLCS0098', 'PLCS0662']"
mary.pollard@example.com,"['PLCS1000', 'PLCS0508', 'PLCS0511', 'PLCS0513', 'PLCS0526', 'PLCS0527', 'PLCS0533', 'PLCS0536', 'PLCS0541', 'PLCS0547']"
