email,interests,recommended_projects
bianca.hill@example.com,"['UI/UX Design', 'Android Mobile App Programming', 'C++ Programming']","['PLCS0609', 'PLCS0553', 'PLCS0191', 'PLCS0541', 'PLCS0677', 'PLCS0165', 'PLCS0687', 'PLCS0061', 'PLCS0806', 'PLCS0306']"
mindy.williams@example.com,"['Machine Learning', 'Data Analysis', 'Web Development', 'C++ Programming', 'UI/UX Design']","['PLCS0542', 'PLCS0857', 'PLCS0164', 'PLCS0634', 'PLCS0751', 'PLCS0496', 'PLCS0960', 'PLCS0775', 'PLCS0446', 'PLCS0584']"
jacob.stanley@example.com,"['Java Programming', 'UI/UX Design', 'Data Analysis', 'C++ Programming', 'Android Mobile App Programming']","['PLCS0644', 'PLCS0350', 'PLCS0677', 'PLCS0239', 'PLCS0588', 'PLCS0218', 'PLCS0288', 'PLCS0071', 'PLCS0872', 'PLCS0569']"
alicia.willis@example.com,"['C++ Programming', 'Data Analysis', 'Java Programming', 'UI/UX Design', 'Machine Learning', 'Android Mobile App Programming', 'Web Development']","['PLCS0588', 'PLCS0414', 'PLCS0288', 'PLCS0804', 'PLCS0806', 'PLCS0061', 'PLCS0841', 'PLCS0239', 'PLCS0854', 'PLCS0218']"
cassandra.stephens@example.com,"['Android Mobile App Programming', 'Machine Learning', 'Web Development', 'Data Analysis', 'UI/UX Design', 'C++ Programming']","['PLCS0306', 'PLCS0071', 'PLCS0288', 'PLCS0653', 'PLCS0806', 'PLCS0699', 'PLCS0239', 'PLCS0191', 'PLCS0553', 'PLCS0541']"
brandon.little@example.com,"['Web Development', 'Machine Learning', 'Java Programming', 'Data Analysis', 'Android Mobile App Programming', 'C++ Programming']","['PLCS1000', 'PLCS0240', 'PLCS0577', 'PLCS0593', 'PLCS0396', 'PLCS0638', 'PLCS0221', 'PLCS0382', 'PLCS0119', 'PLCS0226']"
sarah.olson@example.com,"['Machine Learning', 'Android Mobile App Programming', 'Java Programming', 'UI/UX Design', 'Data Analysis']","['PLCS0165', 'PLCS0218', 'PLCS0653', 'PLCS0197', 'PLCS0288', 'PLCS0541', 'PLCS0677', 'PLCS0687', 'PLCS0699', 'PLCS0569']"
hayley.welch@example.com,"['Web Development', 'Machine Learning', 'Java Programming', 'Android Mobile App Programming', 'C++ Programming', 'Data Analysis']","['PLCS1000', 'PLCS0240', 'PLCS0577', 'PLCS0593', 'PLCS0396', 'PLCS0638', 'PLCS0221', 'PLCS0382', 'PLCS0119', 'PLCS0226']"
danielle.dickerson@example.com,"['UI/UX Design', 'Java Programming', 'Android Mobile App Programming', 'Data Analysis', 'C++ Programming', 'Web Development']","['PLCS0147', 'PLCS0218', 'PLCS0350', 'PLCS0414', 'PLCS0306', 'PLCS0288', 'PLCS0071', 'PLCS0841', 'PLCS0854', 'PLCS0061']"
kevin.howard@example.com,"['Web Development', 'UI/UX Design', 'Machine Learning']","['PLCS0665', 'PLCS0164', 'PLCS0960', 'PLCS0625', 'PLCS0446', 'PLCS0676', 'PLCS0751', 'PLCS0844', 'PLCS0198', 'PLCS0021']"
jade.patel@example.com,"['Android Mobile App Programming', 'Java Programming', 'Data Analysis']","['PLCS0956', 'PLCS0526', 'PLCS0194', 'PLCS0842', 'PLCS0185', 'PLCS0184', 'PLCS0251', 'PLCS0814', 'PLCS0630', 'PLCS0284']"
joseph.patel@example.com,"['Web Development', 'Machine Learning', 'Android Mobile App Programming', 'UI/UX Design', 'Java Programming']","['PLCS0061', 'PLCS0854', 'PLCS0350', 'PLCS0218', 'PLCS0931', 'PLCS0588', 'PLCS0699', 'PLCS0872', 'PLCS0191', 'PLCS0687']"
natalie.thomas@example.com,"['Android Mobile App Programming', 'Machine Learning', 'C++ Programming', 'UI/UX Design', 'Java Programming']","['PLCS0191', 'PLCS0147', 'PLCS0306', 'PLCS0569', 'PLCS0644', 'PLCS0288', 'PLCS0197', 'PLCS0687', 'PLCS0071', 'PLCS0920']"
