email,interests,recommended_projects
bianca.hill@example.com,"['UI/UX Design', 'Android Mobile App Programming', 'C++ Programming']","['PLCS0841', 'PLCS0687', 'PLCS0806', 'PLCS0569', 'PLCS0350', 'PLCS0699', 'PLCS0564', 'PLCS0553', 'PLCS0588', 'PLCS0541']"
mindy.williams@example.com,"['Machine Learning', 'Data Analysis', 'Web Development', 'C++ Programming', 'UI/UX Design']","['PLCS0584', 'PLCS0751', 'PLCS0775', 'PLCS0866', 'PLCS0625', 'PLCS0267', 'PLCS0857', 'PLCS0665', 'PLCS0496', 'PLCS0021']"
jacob.stanley@example.com,"['Java Programming', 'UI/UX Design', 'Data Analysis', 'C++ Programming', 'Android Mobile App Programming']","['PLCS0218', 'PLCS0804', 'PLCS0350', 'PLCS0699', 'PLCS0609', 'PLCS0191', 'PLCS0197', 'PLCS0687', 'PLCS0071', 'PLCS0872']"
alicia.willis@example.com,"['C++ Programming', 'Data Analysis', 'Java Programming', 'UI/UX Design', 'Machine Learning', 'Android Mobile App Programming', 'Web Development']","['PLCS0564', 'PLCS0609', 'PLCS0806', 'PLCS0553', 'PLCS0239', 'PLCS0350', 'PLCS0872', 'PLCS0644', 'PLCS0306', 'PLCS0569']"
cassandra.stephens@example.com,"['Android Mobile App Programming', 'Machine Learning', 'Web Development', 'Data Analysis', 'UI/UX Design', 'C++ Programming']","['PLCS0541', 'PLCS0841', 'PLCS0239', 'PLCS0806', 'PLCS0569', 'PLCS0564', 'PLCS0553', 'PLCS0306', 'PLCS0288', 'PLCS0350']"
brandon.little@example.com,"['Web Development', 'Machine Learning', 'Java Programming', 'Data Analysis', 'Android Mobile App Programming', 'C++ Programming']","['PLCS0060', 'PLCS0227', 'PLCS0085', 'PLCS0911', 'PLCS0445', 'PLCS0782', 'PLCS0452', 'PLCS1000', 'PLCS0119', 'PLCS0226']"
sarah.olson@example.com,"['Machine Learning', 'Android Mobile App Programming', 'Java Programming', 'UI/UX Design', 'Data Analysis']","['PLCS0804', 'PLCS0288', 'PLCS0414', 'PLCS0350', 'PLCS0699', 'PLCS0806', 'PLCS0147', 'PLCS0071', 'PLCS0841', 'PLCS0061']"
hayley.welch@example.com,"['Web Development', 'Machine Learning', 'Java Programming', 'Android Mobile App Programming', 'C++ Programming', 'Data Analysis']","['PLCS0060', 'PLCS0227', 'PLCS0085', 'PLCS0911', 'PLCS0445', 'PLCS0782', 'PLCS0452', 'PLCS1000', 'PLCS0119', 'PLCS0226']"
danielle.dickerson@example.com,"['UI/UX Design', 'Java Programming', 'Android Mobile App Programming', 'Data Analysis', 'C++ Programming', 'Web Development']","['PLCS0699', 'PLCS0553', 'PLCS0841', 'PLCS0414', 'PLCS0588', 'PLCS0218', 'PLCS0804', 'PLCS0197', 'PLCS0569', 'PLCS0931']"
kevin.howard@example.com,"['Web Development', 'UI/UX Design', 'Machine Learning']","['PLCS0446', 'PLCS0743', 'PLCS0405', 'PLCS0751', 'PLCS0634', 'PLCS0267', 'PLCS0584', 'PLCS0775', 'PLCS0021', 'PLCS0625']"
jade.patel@example.com,"['Android Mobile App Programming', 'Java Programming', 'Data Analysis']","['PLCS0115', 'PLCS0842', 'PLCS0864', 'PLCS0935', 'PLCS0964', 'PLCS0561', 'PLCS0526', 'PLCS0956', 'PLCS0251', 'PLCS0284']"
joseph.patel@example.com,"['Web Development', 'Machine Learning', 'Android Mobile App Programming', 'UI/UX Design', 'Java Programming']","['PLCS0288', 'PLCS0350', 'PLCS0191', 'PLCS0197', 'PLCS0564', 'PLCS0804', 'PLCS0071', 'PLCS0806', 'PLCS0841', 'PLCS0687']"
natalie.thomas@example.com,"['Android Mobile App Programming', 'Machine Learning', 'C++ Programming', 'UI/UX Design', 'Java Programming']","['PLCS0147', 'PLCS0854', 'PLCS0931', 'PLCS0306', 'PLCS0609', 'PLCS0218', 'PLCS0569', 'PLCS0564', 'PLCS0288', 'PLCS0841']"
kimberly.robinson@example.com,"['Machine Learning', 'Android Mobile App Programming', 'C++ Programming', 'Java Programming', 'UI/UX Design', 'Data Analysis', 'Web Development']","['PLCS0564', 'PLCS0609', 'PLCS0806', 'PLCS0553', 'PLCS0239', 'PLCS0350', 'PLCS0872', 'PLCS0644', 'PLCS0306', 'PLCS0569']"
austin.price@example.com,"['Web Development', 'Machine Learning', 'Android Mobile App Programming', 'C++ Programming', 'Data Analysis', 'UI/UX Design']","['PLCS0541', 'PLCS0841', 'PLCS0239', 'PLCS0806', 'PLCS0569', 'PLCS0564', 'PLCS0553', 'PLCS0306', 'PLCS0288', 'PLCS0350']"
clayton.berry@example.com,"['Data Analysis', 'Machine Learning', 'Java Programming', 'Android Mobile App Programming', 'Web Development', 'C++ Programming', 'UI/UX Design']","['PLCS0564', 'PLCS0609', 'PLCS0806', 'PLCS0553', 'PLCS0239', 'PLCS0350', 'PLCS0872', 'PLCS0644', 'PLCS0306', 'PLCS0569']"
arthur.mccarthy@example.com,"['UI/UX Design', 'C++ Programming', 'Machine Learning']","['PLCS0896', 'PLCS0839', 'PLCS0233', 'PLCS0473', 'PLCS0397', 'PLCS0883', 'PLCS0618', 'PLCS0315', 'PLCS0426', 'PLCS0757']"
michelle.fox@example.com,"['C++ Programming', 'Java Programming', 'Data Analysis', 'Machine Learning']","['PLCS0201', 'PLCS0632', 'PLCS0870', 'PLCS0675', 'PLCS0449', 'PLCS0440', 'PLCS0660', 'PLCS0186', 'PLCS0621', 'PLCS0056']"
kevin.suarez@example.com,"['UI/UX Design', 'Java Programming', 'C++ Programming', 'Android Mobile App Programming', 'Machine Learning', 'Web Development', 'Data Analysis']","['PLCS0564', 'PLCS0609', 'PLCS0806', 'PLCS0553', 'PLCS0239', 'PLCS0350', 'PLCS0872', 'PLCS0644', 'PLCS0306', 'PLCS0569']"
kurt.cabrera@example.com,"['Java Programming', 'Android Mobile App Programming', 'Web Development', 'Data Analysis', 'Machine Learning', 'UI/UX Design', 'C++ Programming']","['PLCS0564', 'PLCS0609', 'PLCS0806', 'PLCS0553', 'PLCS0239', 'PLCS0350', 'PLCS0872', 'PLCS0644', 'PLCS0306', 'PLCS0569']"
mark.martin@example.com,"['Machine Learning', 'Android Mobile App Programming', 'C++ Programming', 'Data Analysis']","['PLCS0576', 'PLCS0406', 'PLCS0547', 'PLCS0919', 'PLCS0217', 'PLCS0771', 'PLCS0281', 'PLCS0953', 'PLCS0203', 'PLCS0701']"
dwayne.middleton@example.com,"['UI/UX Design', 'Data Analysis', 'Machine Learning', 'Android Mobile App Programming', 'C++ Programming']","['PLCS0165', 'PLCS0588', 'PLCS0239', 'PLCS0609', 'PLCS0288', 'PLCS0147', 'PLCS0553', 'PLCS0564', 'PLCS0653', 'PLCS0569']"
allison.burke@example.com,"['Java Programming', 'Android Mobile App Programming', 'UI/UX Design', 'C++ Programming']","['PLCS0644', 'PLCS0071', 'PLCS0677', 'PLCS0350', 'PLCS0931', 'PLCS0653', 'PLCS0687', 'PLCS0588', 'PLCS0061', 'PLCS0699']"
bradley.green@example.com,"['UI/UX Design', 'Web Development', 'Data Analysis', 'Java Programming', 'Machine Learning', 'C++ Programming', 'Android Mobile App Programming']","['PLCS0564', 'PLCS0609', 'PLCS0806', 'PLCS0553', 'PLCS0239', 'PLCS0350', 'PLCS0872', 'PLCS0644', 'PLCS0306', 'PLCS0569']"
mary.mata@example.com,"['C++ Programming', 'Data Analysis', 'UI/UX Design', 'Android Mobile App Programming', 'Machine Learning']","['PLCS0165', 'PLCS0588', 'PLCS0239', 'PLCS0609', 'PLCS0288', 'PLCS0147', 'PLCS0553', 'PLCS0564', 'PLCS0653', 'PLCS0569']"
robert.james@example.com,"['UI/UX Design', 'Java Programming', 'Data Analysis', 'C++ Programming', 'Web Development', 'Android Mobile App Programming']","['PLCS0699', 'PLCS0553', 'PLCS0841', 'PLCS0414', 'PLCS0588', 'PLCS0218', 'PLCS0804', 'PLCS0197', 'PLCS0569', 'PLCS0931']"
justin.johnson@example.com,"['Java Programming', 'C++ Programming', 'Machine Learning', 'UI/UX Design', 'Android Mobile App Programming', 'Data Analysis']","['PLCS0677', 'PLCS0147', 'PLCS0197', 'PLCS0350', 'PLCS0191', 'PLCS0920', 'PLCS0644', 'PLCS0653', 'PLCS0165', 'PLCS0588']"
nicole.spencer@example.com,"['Data Analysis', 'UI/UX Design', 'Java Programming', 'Machine Learning']","['PLCS0896', 'PLCS0408', 'PLCS0797', 'PLCS0618', 'PLCS0426', 'PLCS0210', 'PLCS0959', 'PLCS0377', 'PLCS0757', 'PLCS0315']"
desiree.mccann@example.com,"['Machine Learning', 'Data Analysis', 'Web Development', 'Android Mobile App Programming']","['PLCS0317', 'PLCS0761', 'PLCS0662', 'PLCS0106', 'PLCS0520', 'PLCS0098', 'PLCS0981', 'PLCS0370', 'PLCS0973', 'PLCS0776']"
robin.marshall@example.com,"['Data Analysis', 'UI/UX Design', 'Android Mobile App Programming', 'Java Programming', 'C++ Programming', 'Web Development', 'Machine Learning']","['PLCS0564', 'PLCS0609', 'PLCS0806', 'PLCS0553', 'PLCS0239', 'PLCS0350', 'PLCS0872', 'PLCS0644', 'PLCS0306', 'PLCS0569']"
amber.winters@example.com,"['UI/UX Design', 'Java Programming', 'Machine Learning', 'C++ Programming']","['PLCS0163', 'PLCS0422', 'PLCS0459', 'PLCS0156', 'PLCS0671', 'PLCS0364', 'PLCS0096', 'PLCS0713', 'PLCS0189', 'PLCS0179']"
